Event Details:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,Suspect Demographics:,,,,,,,,,,
Event Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Islander, Hispanic"
B16-25322,1,Assault,Telephone,7/5/16,18:35,No,No,Yes,No,No,No,Normal,Yes,No,Arrestee,No,No,,1,19,,,1,,,,,
B16-25577,4,Service,Telephone,7/4/16,0:05,Yes,Yes,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,Yes,,1,19,1,,,,,,,
B16-25600,1,Suspicious Activity,Officer Report,7/5/16,5:05,Yes,No,No,No,No,Yes,Normal,No,No,Arrestee,Yes,No,,1,18,1,,,,,,,
B16-25830,2,Drugs,Officer Report,7/8/16,11:50,Yes,No,Yes,No,No,No,Normal,No,No,"Mentioned, Arrestee, Mentioned",No,No,1,2,"24, 22, 23",3,,,,,,,
B16-26061,5,Traffic Stop,Officer Report,7/8/16,13:41,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,21,1,,,,,,,
B16-26172,3,Welfare Check,Telephone,7/9/16,4:31,Yes,No,Yes,No,No,No,Mentally Disturbed,Yes,No,Arrestee,No,No,,1,25,,,1,,,,,
B16-26209,4,Welfare Check,Telephone,7/9/2016,14:55,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,1,,25,1,,,,,,,
B16-26375,5,Warrant Service,Telephone,7/10/16,22:55,Yes,No,Yes,No,No,No,Mentally Disturbed,Yes,No,Arrestee,No,No,,1,25,1,,,,,,,
B16-26466,1,Indecent Exp,Officer Report,7/11/16,16:15,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,39,1,,,,,,,
B16-26543,1,Weapons,Telephone,7/12/16,5:00,No,No,Yes,No,No,No,Mentally Disturbed,Yes,No,Suspect,No,No,,1,59,1,,,,,,,
B16-26687,5,Domestic,Telephone,7/13/16,15:36,Yes,No,No,No,No,No,Normal,No,No,Suspect/Arrestee,No,No,,1,50,,,1,,,,,
B16-26701,5,Burglary,911,7/13/16,3:56,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,27,1,,,,,,,
B16-27021,1,Drunk,911,7/15/16,3:45,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,Yes,,1,49,1,,,,,,,
B16-27290,3,Suspicious Activity,Telephone,7/16/16,20:49,Yes,No,No,No,No,Yes,Intoxicated,No,No,Involved,No,No,,1,19,1,,,,,,,
B16-27327,1,Weapons,911,7/17/16,1:25,Yes,No,No,No,No,Yes,Intoxicated,No,Yes,Arrestee,Yes,Yes,,1,27,1,,,,,,,
B16-27560,4,Service,Telephone,7/18/16,20:36,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,35,1,,,,,,,
B16-27746,1,Assigned Detail,Telephone,7/19/16,3:30,No,No,Yes,No,No,No,Normal,Yes,No,Arrestee,No,No,,1,47,1,,,,,,,
