Event Detail:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,Suspect Demographics:,,,,,,,,,,
Event Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Islander, Hispanic"
B17-00206,3,DISTURBANCE,TELEPHONE,1/3/2017,4:01,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,21,,,1,,,,,
B17-00415,4,MOTORIST ASSIST,TELEPHONE,1/4/2017,21:20,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED,NO,NO,1,,46,1,,,,,,,
B17-00865,5,WARRANT SERVICE,OFFICER REPORT,1/9/2017,3:23,YES,NO,NO,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B17-00997,4,SERVICE ,911 LINE,1/10/2017,9:57,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,1,,26,1,,,,,,,
B17-01498,3,NOISE,TELEPHONE,1/13/2017,23:58,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,MENTIONED,NO,NO,,1,22,1,,,,,,,
B17-01833,5,ROBBERY,911 LINE,1/17/2017,23:51,NO,NO,YES,NO,NO,NO,"UNKNOWN, UNKNOWN",NO,NO,"ARRESTEE, ARRESTEE",NO,NO,1,1,"31, 31",2,,,,,,,
B17-02674,2,WEAPONS ,911 LINE,1/23/2017,4:34,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,MENTIONED,NO,NO,,1,19,,,,,,,1,
B17-02873,5,ATL,911 LINE,1/24/2017,20:56,NO,YES,YES,NO,NO,NO,"NORMAL, NORMAL",NO,NO,"ARRESTEE, INVOLVED",NO,NO,,1,"35, 28",2,,,,,,,
B17-03110,3,WELFARE CHK,TELEPHONE,1/26/2017,18:15,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,,,,,
B17-03304,5,WARRANT SERVICE,TELEPHONE,1/27/2017,22:52,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,35,,,1,,,,,
B17-03533,2,SUSP ACT,911 LINE,1/29/2017,23:19,YES,YES,NO,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,37,1,,,,,,,
B17-03745,3,ASSAULT ,911 LINE,1/31/2017,22:31,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,45,1,,,,,,,
B17-03908,3,WARRANT SERVICE,TELEPHONE,2/1/2017,23:36,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,25,1,,,,,,,
B17-03909,5,VANDALISM,911 LINE,2/1/2017,23:42,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,YES,,1,21,1,,,,,,,
B17-03977,4,DRUNK,TELEPHONE,2/2/2017,16:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,39,1,,,,,,,
B17-03995,4,SERVICE ,911 LINE,2/2/2017,17:32,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,MENTIONED,YES,NO,,1,25,1,,,,,,,
B17-01070,1,DRUGS,OFFICER REPORT ,2/3/2017,20:17,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,27,,1,,,,,,
B17-04603,5,DISTURBANCE,911 LINE,2/7/2017,20:10,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,31,,,1,,,,,
B17-04725,2,WARRANT SERVICE,OFFICER REPORT,2/8/2017,16:39,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,"MENTIONED, MENTIONED ",NO,NO,1,1,31,,,1,,,,,
B17-05858,1,FIGHT,TELEPHONE,2/17/2017,4:52,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,YES,NO,,1,21,1,,,,,,,
B17-05924,2,DOMESTIC ,TELEPHONE,2/17/2017,15:26,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,27,,,1,,,,,
B17-06022,1,SUSP ACT IP ,OFFICER REPORT,2/17/17,23:45,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE  ,NO,NO,1,,50,1,,,,,,,
B17-06225,5,DOMESTIC ,911 LINE,2/19/2017,5:57,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,MENTIONED,NO,NO,,1,23,1,,,,,,,
B17-06441,3,DRUNK,911 LINE,2/21/2017,3:29,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B17-06812,1,TRESPASS ,911 LINE ,2/23/2017,20;32,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,31,1,,,,,,,
B17-15709,1,WEAPONS ,TELEPHONE,2/24/2017,15:47,NO,NO,YES,NO,NO,NO,NORMAL ,YES,NO,MENTIONED,NO,NO,,1,76,1,,,,,,,
B17-06982,2,WELFARE CHK,911 LINE,2/25/2017,0:57,YES,YES,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,25,1,,,,,,,
B17-07172,1,FIGHT,TELEPHONE,2/26/2017,13:25,YES,YES,NO,NO,NO,NO,UNKNOWN,NO,YES,ARRESTEE,NO,5,,1,36,1,,,,,,,
B17-07322,5,WEAPONS ,911 LINE,2/27/2017,21:07,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,30,,,1,,,,,
